"","Pop_1","Pop_2","Pop_3"
"loc0001",0.5357,0.5476,0.4889
"loc0002",0.2321,0,0
"loc0003",0.125,0.1429,0.1889
"loc0004",0,0.2619,0
"loc0005",0,0.2619,0
"loc0006",0.125,0,0.3333
"loc0007",0.125,0,0.1
"loc0008",0.2321,0,0
"loc0009",0,0,0.2667
"loc0010",0,0.1429,0.1
"loc0011",0.2321,0.5,0.4
"loc0012",0.2321,0.1429,0.1
"loc0013",0.125,0,0.1
"loc0014",0.4464,0,0.2667
"loc0015",0,0.3571,0.3333
"loc0016",0,0,0.2
"loc0017",0,0,0.1889
"loc0018",0,0.2619,0.1
"loc0019",0.125,0,0.1889
"loc0020",0.4821,0.4286,0.3333
"loc0021",0.2321,0,0
"loc0022",0.125,0,0.1
"loc0023",0.3214,0.5,0.3889
"loc0024",0.125,0.1429,0
"loc0025",0,0,0.1889
"loc0026",0.2321,0.381,0.1889
"loc0027",0,0,0.2667
"loc0028",0.2321,0.2619,0.1
"loc0029",0.4643,0.4286,0.5222
"loc0030",0.3393,0.3571,0.2667
"loc0031",0,0.1429,0.2
"loc0032",0,0.1429,0.2667
"loc0033",0.2321,0.1429,0.1
"loc0034",0.3214,0.4286,0.4
"loc0035",0,0,0.1889
"loc0036",0.5,0.4286,0.4889
"loc0037",0,0.4524,0.4
"loc0038",0.3929,0.1429,0.1
"loc0039",0.3214,0,0
"loc0040",0.3214,0.5238,0.5333
"loc0041",0.2321,0,0
"loc0042",0.2321,0,0
"loc0043",0,0.1429,0.1889
"loc0044",0,0.2619,0
"loc0045",0,0.1429,0.2667
"loc0046",0,0.381,0.3889
"loc0047",0,0.381,0.3889
"loc0048",0,0.381,0.4333
"loc0049",0.3214,0.5,0.5222
"loc0050",0,0,0.1889
"loc0051",0,0,0.1889
"loc0052",0,0,0.1889
"loc0053",0,0,0.1889
"loc0054",0,0,0.1889
"loc0055",0.125,0,0.1889
"loc0056",0.2321,0.3571,0.5
"loc0057",0.125,0,0.1
"loc0058",0.2321,0.2619,0
"loc0059",0.125,0.5238,0.5222
"loc0060",0,0.3571,0.2667
"loc0061",0.2321,0.2619,0.1889
"loc0062",0,0.1429,0.2
"loc0063",0.2321,0.1429,0.2778
"loc0064",0,0,0.1889
"loc0065",0.2321,0,0
"loc0066",0.125,0.1429,0.1889
"loc0067",0.125,0,0.1889
"loc0068",0.125,0.1429,0
"loc0069",0.2321,0,0
"loc0070",0.4643,0.4524,0.5222
"loc0071",0.125,0.5476,0.5222
"loc0072",0.3214,0.2619,0.3333
"loc0073",0.5,0.5,0.5
"loc0074",0.3929,0.3571,0.5222
"loc0075",0.5179,0.5714,0.4333
"loc0076",0,0,0.1889
"loc0077",0.125,0.1429,0.1
"loc0078",0.2321,0,0
"loc0079",0,0,0.1889
"loc0080",0.2321,0,0.2667
"loc0081",0,0.1429,0.1889
"loc0082",0,0,0.1889
"loc0083",0.3214,0,0
"loc0084",0,0.2619,0.4444
"loc0085",0,0.2619,0
"loc0086",0.3214,0.4762,0.4444
"loc0087",0.2321,0,0.1
"loc0088",0,0.1429,0.1889
"loc0089",0.125,0,0.1
"loc0090",0.125,0.1429,0.2667
"loc0091",0.4643,0.1429,0.3333
"loc0092",0.5179,0.4286,0.4444
"loc0093",0.3393,0.1429,0.3333
"loc0094",0,0,0.2
"loc0095",0,0,0.1889
"loc0096",0,0.2619,0
"loc0097",0,0.1429,0.1
"loc0098",0.25,0,0
"loc0099",0,0,0.2
"loc0100",0.25,0,0
"loc0101",0,0.4762,0.2778
"loc0102",0,0,0.2
"loc0103",0,0.4762,0.2778
"loc0104",0,0.4762,0.5
"loc0105",0,0.2857,0
"loc0106",0.25,0,0
"loc0107",0.4286,0,0.2
"loc0108",0.25,0,0
"loc0109",0.4286,0,0
"loc0110",0,0,0.2
"loc0111",0.4286,0.2857,0
"loc0112",0,0,0.2
"loc0113",0.5,0.5,0.5
"loc0114",0,0.3571,0.4667
"loc0115",0,0.2619,0.1
"loc0116",0.3393,0,0
