"","Pop_1","Pop_2","Pop_3"
"loc0001",0.3,0.4783,0.3864
"loc0002",-0.0769,NA,NA
"loc0003",0,0,-0.0588
"loc0004",NA,-0.0909,NA
"loc0005",NA,-0.0909,NA
"loc0006",0,NA,-0.2
"loc0007",0,NA,0
"loc0008",-0.0769,NA,NA
"loc0009",NA,NA,-0.125
"loc0010",NA,0,0
"loc0011",-0.0769,0.1429,0.25
"loc0012",-0.0769,0,0
"loc0013",0,NA,0
"loc0014",-0.4,NA,-0.125
"loc0015",NA,-0.2,-0.2
"loc0016",NA,NA,1
"loc0017",NA,NA,-0.0588
"loc0018",NA,-0.0909,0
"loc0019",0,NA,-0.0588
"loc0020",0.7407,-0.3333,-0.2
"loc0021",-0.0769,NA,NA
"loc0022",0,NA,0
"loc0023",-0.1667,-0.7143,-0.2857
"loc0024",0,0,NA
"loc0025",NA,NA,-0.0588
"loc0026",-0.0769,0.625,-0.0588
"loc0027",NA,NA,-0.125
"loc0028",-0.0769,-0.0909,0
"loc0029",0.1923,-0.3333,0.0426
"loc0030",0.6316,-0.2,-0.125
"loc0031",NA,0,1
"loc0032",NA,0,-0.125
"loc0033",-0.0769,0,0
"loc0034",-0.1667,-0.3333,0.25
"loc0035",NA,NA,-0.0588
"loc0036",0,-0.3333,0.3864
"loc0037",NA,0.3684,0.25
"loc0038",-0.2727,0,0
"loc0039",-0.1667,NA,NA
"loc0040",-0.1667,-0.0909,0.4375
"loc0041",-0.0769,NA,NA
"loc0042",-0.0769,NA,NA
"loc0043",NA,0,-0.0588
"loc0044",NA,-0.0909,NA
"loc0045",NA,0,-0.125
"loc0046",NA,0.625,-0.2857
"loc0047",NA,0.625,-0.2857
"loc0048",NA,0.625,-0.3846
"loc0049",-0.1667,0.1429,-0.1489
"loc0050",NA,NA,-0.0588
"loc0051",NA,NA,-0.0588
"loc0052",NA,NA,-0.0588
"loc0053",NA,NA,-0.0588
"loc0054",NA,NA,-0.0588
"loc0055",0,NA,-0.0588
"loc0056",-0.0769,-0.2,-0.2
"loc0057",0,NA,0
"loc0058",-0.0769,-0.0909,NA
"loc0059",0,-0.3636,0.0426
"loc0060",NA,-0.2,-0.125
"loc0061",-0.0769,-0.0909,-0.0588
"loc0062",NA,0,1
"loc0063",-0.0769,0,0.64
"loc0064",NA,NA,-0.0588
"loc0065",-0.0769,NA,NA
"loc0066",0,0,-0.0588
"loc0067",0,NA,-0.0588
"loc0068",0,0,NA
"loc0069",-0.0769,NA,NA
"loc0070",0.1923,0.3684,0.0426
"loc0071",0,0.2174,0.0426
"loc0072",-0.1667,-0.0909,-0.2
"loc0073",-1,-0.7143,-1
"loc0074",-0.2727,-0.2,0.0426
"loc0075",-0.2069,0.75,-0.3846
"loc0076",NA,NA,-0.0588
"loc0077",0,0,0
"loc0078",-0.0769,NA,NA
"loc0079",NA,NA,-0.0588
"loc0080",-0.0769,NA,-0.125
"loc0081",NA,0,-0.0588
"loc0082",NA,NA,-0.0588
"loc0083",-0.1667,NA,NA
"loc0084",NA,-0.0909,0.1
"loc0085",NA,-0.0909,NA
"loc0086",-0.1667,-0.5,0.1
"loc0087",-0.0769,NA,0
"loc0088",NA,0,-0.0588
"loc0089",0,NA,0
"loc0090",0,0,-0.125
"loc0091",0.1923,0,-0.2
"loc0092",-0.4483,-0.3333,0.1
"loc0093",0.6316,0,-0.2
"loc0094",NA,NA,1
"loc0095",NA,NA,-0.0588
"loc0096",NA,-0.0909,NA
"loc0097",NA,0,0
